pseudoword,ambiguity_reduction,L1,L2,|synsets_L1|,|synsets_L2|,|synsets_L1_L2|,synsets_intersection
irregular-irregolare,0.8461538461538461,ES,IT,12,1,1,['bn:00112698a']
jackson-jackson,0.6528925619834711,EN,IT,96,25,21,"['bn:00393277n', 'bn:00423568n', 'bn:00459278n', 'bn:00285720n', 'bn:00164861n', 'bn:03177454n', 'bn:00406230n', 'bn:00543251n', 'bn:00725599n', 'bn:00015577n', 'bn:00047842n', 'bn:00483182n', 'bn:00375095n', 'bn:00192173n', 'bn:00220003n', 'bn:00344205n', 'bn:00687019n', 'bn:00047840n', 'bn:00047841n', 'bn:00279505n', 'bn:00294673n']"
jam-marmellata,0.9111111111111111,EN,IT,42,3,2,"['bn:00047901n', 'bn:00021987n']"
jerk-jerk,0.68,EN,ES,21,4,4,"['bn:00048132n', 'bn:01719766n', 'bn:03433697n', 'bn:29679321n']"
knock-knock,0.9166666666666666,EN,ES,23,1,1,['bn:02866026n']
lap-vuelta,0.9523809523809523,EN,ES,21,21,1,['bn:00019171n']
grande-important,0.9459459459459459,ES,FR,29,8,1,['bn:00097799a']
late-tarde,0.8064516129032258,EN,ES,20,11,3,"['bn:00105751a', 'bn:00114955r', 'bn:00114519r']"
like-como,0.9473684210526315,EN,ES,24,14,1,['bn:00105977a']
liquid-liquido,0.6551724137931034,EN,IT,20,9,5,"['bn:00051473n', 'bn:00106035a', 'bn:00106033a', 'bn:00051471n', 'bn:00051472n']"
mass-masa,0.8571428571428571,EN,ES,36,20,4,"['bn:00013768n', 'bn:00053665n', 'bn:00053662n', 'bn:00044382n']"
mat-mat,0.7575757575757576,EN,FR,24,9,4,"['bn:00103066a', 'bn:00053725n', 'bn:07396113n', 'bn:03421543n']"
materiale-matériel,0.6470588235294118,IT,FR,8,9,3,"['bn:00031321n', 'bn:00106479a', 'bn:00053803n']"
mature-mature,0.8461538461538461,EN,FR,12,1,1,['bn:00053884n']
mould-stampo,0.76,EN,IT,18,7,3,"['bn:00016527n', 'bn:21705879n', 'bn:00016565n']"
bocca-boca,0.84,IT,ES,11,14,2,"['bn:00056136n', 'bn:00056135n']"
movement-movimento,0.7818181818181819,EN,IT,40,15,6,"['bn:00056158n', 'bn:00056157n', 'bn:00056030n', 'bn:00056033n', 'bn:00056029n', 'bn:00036632n']"
new-nuovo,0.7647058823529411,EN,IT,28,6,4,"['bn:00107269a', 'bn:00103328a', 'bn:00107268a', 'bn:00107267a']"
notice-aviso,0.9230769230769231,EN,ES,15,11,1,['bn:00058164n']
obscure-obscure,0.8823529411764706,EN,FR,14,3,1,['bn:14717221n']
offset-offset,0.5454545454545454,EN,IT,17,5,5,"['bn:00058710n', 'bn:21267881n', 'bn:00058711n', 'bn:23417516n', 'bn:02594954n']"
fonctionnement-operación,0.8333333333333334,FR,ES,2,10,1,['bn:00059125n']
opposite-opposé,0.8,EN,FR,16,4,2,"['bn:00035596n', 'bn:00022257n']"
pad-cuscinetto,0.8666666666666667,EN,IT,23,7,2,"['bn:00060132n', 'bn:00046802n']"
pall-pallina,-1.0,ES,IT,1,4,0,[]
pile-pile,0.875,EN,FR,19,13,2,"['bn:00037140n', 'bn:14094330n']"
plain-simple,0.95,EN,FR,20,20,1,['bn:00108648a']
plaster-escayola,0.8823529411764706,EN,ES,14,3,1,['bn:00062850n']
pocket-tasca,0.84,EN,IT,20,5,2,"['bn:00063155n', 'bn:00063161n']"
pool-piscine,0.8947368421052632,EN,FR,30,8,2,"['bn:00063165n', 'bn:00056911n']"
power-pouvoir,0.9595959595959596,EN,FR,88,11,2,"['bn:00035773n', 'bn:00063940n']"
prick-con,0.9090909090909091,EN,FR,17,5,1,['bn:00006506n']
stampa-imprimer,0.8823529411764706,IT,FR,10,7,1,['bn:00064453n']
pump-bomba,0.9411764705882353,EN,ES,20,14,1,['bn:00065198n']
question-domanda,0.8333333333333334,FR,IT,13,11,2,"['bn:00047208n', 'bn:00030951n']"
radical-radical,0.7241379310344828,EN,FR,22,7,4,"['bn:00036360n', 'bn:00065889n', 'bn:00065888n', 'bn:00008793n']"
rag-straccio,0.9047619047619048,EN,IT,16,5,1,['bn:00065985n']
rat-ratto,0.7894736842105263,FR,IT,11,8,2,"['bn:00066217n', 'bn:00056119n']"
posteriore-arrière,0.8095238095238095,IT,FR,6,15,2,"['bn:00007728n', 'bn:00005913n']"
reference-riferimento,0.5833333333333334,EN,IT,16,8,5,"['bn:00066790n', 'bn:00063236n', 'bn:00000939n', 'bn:00054390n', 'bn:00001302n']"
relief-ayuda,0.9,EN,ES,28,12,2,"['bn:00002155n', 'bn:00055177n']"
relieve-alleviare,0.7142857142857143,EN,IT,11,3,2,"['bn:00082525v', 'bn:00082530v']"
reserve-reserva,0.7894736842105263,EN,ES,20,18,4,"['bn:00054985n', 'bn:00007805n', 'bn:00067291n', 'bn:00067295n']"
resistance-resistenza,0.7183098591549296,EN,IT,52,19,10,"['bn:21706260n', 'bn:00059192n', 'bn:00067330n', 'bn:00030164n', 'bn:03688645n', 'bn:27268926n', 'bn:00067332n', 'bn:00067333n', 'bn:00067328n', 'bn:00067327n']"
resolution-résolution,0.8095238095238095,EN,FR,47,16,6,"['bn:00025735n', 'bn:00067338n', 'bn:02084347n', 'bn:00067343n', 'bn:23752210n', 'bn:00067341n']"
retire-jubilarse,0.7142857142857143,EN,ES,12,2,2,"['bn:00067457n', 'bn:00092940v']"
retreat-retiro,0.9215686274509803,EN,ES,28,23,2,"['bn:00067458n', 'bn:00067465n']"
ridge-cresta,0.8604651162790697,EN,ES,28,15,3,"['bn:00067764n', 'bn:00067762n', 'bn:00067766n']"
rig-plataforma,0.9459459459459459,EN,ES,22,15,1,['bn:03195382n']
running-corsa,0.9512195121951219,EN,IT,35,6,1,['bn:00068552n']
secure-seguro,0.8367346938775511,EN,ES,12,37,4,"['bn:00110269a', 'bn:00110271a', 'bn:00110270a', 'bn:00101189a']"
shape-forme,0.7551020408163265,EN,FR,23,26,6,"['bn:00035909n', 'bn:00021647n', 'bn:00035908n', 'bn:00016529n', 'bn:00003882n', 'bn:00021751n']"
shine-brillo,0.9857142857142858,EN,ES,126,14,1,['bn:00029903n']
shower-douche,0.7,EN,FR,15,5,3,"['bn:00071324n', 'bn:00071325n', 'bn:00016390n']"
slick-slick,0.9090909090909091,EN,IT,21,1,1,['bn:17196625n']
slow-lento,0.8181818181818182,EN,ES,30,14,4,"['bn:00101877a', 'bn:00110767a', 'bn:00110768a', 'bn:00101180a']"
so-así que,0.9607843137254902,EN,ES,50,1,1,['bn:00114281r']
soak-tremper,0.9,EN,FR,16,4,1,['bn:00087196v']
sour-agrio,0.6875,EN,ES,21,11,5,"['bn:00072932n', 'bn:00100906a', 'bn:00107745a', 'bn:00109423a', 'bn:00110947a']"
source-fuente,0.7674418604651163,FR,ES,20,23,5,"['bn:00072944n', 'bn:00040284n', 'bn:00036077n', 'bn:00046702n', 'bn:00009635n']"
spoil-echar a perder,0.875,EN,ES,14,2,1,['bn:00083055v']
spring-primavera,0.9047619047619048,EN,ES,66,18,4,"['bn:23878596n', 'bn:00073636n', 'bn:21371458n', 'bn:02168192n']"
standard-standard,0.6666666666666666,EN,IT,46,14,10,"['bn:03090270n', 'bn:17815024n', 'bn:17142013n', 'bn:00111130a', 'bn:00023854n', 'bn:00023853n', 'bn:00241263n', 'bn:00111131a', 'bn:00111129a', 'bn:17192460n']"
state-Stato,0.5849056603773585,EN,IT,35,18,11,"['bn:00074010n', 'bn:03549213n', 'bn:03347921n', 'bn:03719156n', 'bn:00064914n', 'bn:00023235n', 'bn:00074009n', 'bn:00023236n', 'bn:00964536n', 'bn:02108701n', 'bn:00074011n']"
stiff-rígido,0.8333333333333334,EN,ES,15,9,2,"['bn:00111209a', 'bn:00109871a']"
stir-mescolare,0.9130434782608695,EN,IT,16,7,1,['bn:00094373v']
soffrire-souffrir,0.8181818181818182,IT,FR,8,3,1,['bn:00089535v']
swallow-inghiottire,0.9024390243902439,EN,IT,39,2,2,"['bn:00088759v', 'bn:00084300v']"
swell-oleaje,0.9090909090909091,EN,ES,18,4,1,['bn:00023766n']
tail-queue,0.8,EN,FR,19,11,3,"['bn:00030590n', 'bn:01703687n', 'bn:00075904n']"
talk-parler,0.8571428571428571,EN,FR,35,7,3,"['bn:00094089v', 'bn:00094090v', 'bn:00090943v']"
transport-trasporto,0.7241379310344828,FR,IT,14,15,4,"['bn:00022379n', 'bn:00076106n', 'bn:00022381n', 'bn:00029691n']"
troll-troll,0.6326530612244898,EN,IT,37,12,9,"['bn:01100331n', 'bn:03534661n', 'bn:17381151n', 'bn:00078384n', 'bn:03299679n', 'bn:00671788n', 'bn:00078382n', 'bn:29727647n', 'bn:14617170n']"
trouble-problemi,0.9775280898876404,EN,IT,84,5,1,['bn:00027041n']
upgrade-aggiornamento,0.9230769230769231,EN,IT,21,5,1,['bn:00079241n']
value-valor,0.7391304347826086,EN,ES,17,29,6,"['bn:00079509n', 'bn:00029680n', 'bn:00058151n', 'bn:00079510n', 'bn:00079511n', 'bn:00079508n']"
variation-variazione,0.625,FR,IT,10,6,3,"['bn:00035414n', 'bn:00079588n', 'bn:00079587n']"
ruota-rueda,0.9047619047619048,IT,ES,5,16,1,['bn:00080972n']
whip-frusta,0.8235294117647058,EN,IT,28,6,3,"['bn:00005052n', 'bn:00060846n', 'bn:00081007n']"
fischio-siffler,0.8888888888888888,IT,FR,7,11,1,['bn:00081049n']
ampio-large,0.875,IT,FR,7,9,1,['bn:00098887a']
wilson-wilson,0.6304347826086957,EN,IT,72,20,17,"['bn:00608471n', 'bn:00285748n', 'bn:17522275n', 'bn:03649006n', 'bn:00490634n', 'bn:00463591n', 'bn:00190126n', 'bn:00603955n', 'bn:00725112n', 'bn:00528716n', 'bn:00805672n', 'bn:00533237n', 'bn:03279203n', 'bn:02382253n', 'bn:00565513n', 'bn:00002624n', 'bn:00273539n']"
word-mot,0.7333333333333333,EN,FR,22,8,4,"['bn:00081546n', 'bn:00081547n', 'bn:00081549n', 'bn:00023218n']"
