,ambiguity_reduction,ambiguity_drop,|synsets_L1|,|synsets_L2|,|synsets_L1_L2|
count,99.0,99.0,99.0,99.0,99.0
mean,0.9236336687758155,0.9034098287390068,20.585858585858585,16.292929292929294,1.3333333333333333
std,0.025325536090951437,0.02345649392158938,9.263721318869406,7.046858505821722,0.6060915267313265
min,0.875,0.8681371489430688,7.0,7.0,1.0
25%,0.9016129032258065,0.8830356814849439,14.0,11.0,1.0
50%,0.925925925925926,0.9014122253442096,19.0,15.0,1.0
75%,0.9436507936507936,0.9234012719203014,24.0,18.5,2.0
max,0.9661016949152542,0.954395342946116,57.0,38.0,4.0
