,ambiguity_reduction,ambiguity_drop,|synsets_L1|,|synsets_L2|,|synsets_L1_L2|
count,100.0,100.0,100.0,100.0,100.0
mean,0.9585837711754565,0.6844758256681004,43.85,10.74,1.08
std,0.00837018808563652,0.20031059012876995,20.812959734965446,8.260432644525798,0.3074824459143229
min,0.945945945945946,0.2737500968910138,8.0,1.0,1.0
25%,0.951219512195122,0.560683643267342,31.0,5.0,1.0
50%,0.9574468085106383,0.7294614278012492,40.0,9.0,1.0
75%,0.9649122807017544,0.8477058273391067,52.0,13.25,1.0
max,0.9827586206896552,0.954395342946116,115.0,38.0,3.0
